order_id,order_line_id,customer_id,product,amount,order_date,quantity
ORD_056,2,CUST_046,Remote,47.93,2026-01-06 09:57:00,2
ORD_057,1,CUST_021,TV,477.29,2025-12-19 23:26:00,1
ORD_057,2,CUST_021,Case,29.17,2025-12-19 23:26:00,3
ORD_058,1,CUST_031,Headphones,102.47,2025-12-18 18:24:00,3
ORD_058,2,CUST_031,Speaker,142.14,2025-12-18 18:24:00,2
ORD_059,1,CUST_088,Monitor,197.94,2025-12-29 22:04:00,1
ORD_059,2,CUST_088,Keyboard,77.87,2025-12-29 22:04:00,3
ORD_059,3,CUST_088,Laptop,921.69,2025-12-29 22:04:00,3
ORD_060,1,CUST_036,Keyboard,76.27,2025-12-02 02:26:00,1
ORD_060,2,CUST_036,Charger,20.94,2025-12-02 02:26:00,1
ORD_060,3,CUST_036,Monitor,206.45,2025-12-02 02:26:00,3
ORD_061,1,CUST_087,Phone,677.76,2025-12-22 22:29:00,2
ORD_061,2,CUST_087,Headphones,97.40,2025-12-22 22:29:00,1
ORD_061,3,CUST_087,Monitor,196.51,2025-12-22 22:29:00,3
ORD_062,1,CUST_024,Speaker,143.46,2025-12-16 09:58:00,2
ORD_063,1,CUST_053,TV,503.51,2025-12-14 12:24:00,3
ORD_063,2,CUST_053,Keyboard,82.73,2025-12-14 12:24:00,1
ORD_063,3,CUST_053,Headphones,101.86,2025-12-14 12:24:00,1
ORD_064,1,CUST_091,TV,520.29,2026-01-02 14:56:00,3
ORD_064,2,CUST_091,Remote,51.13,2026-01-02 14:56:00,2
ORD_064,3,CUST_091,Mouse,25.22,2026-01-02 14:56:00,1
ORD_065,1,CUST_086,Headphones,103.51,2025-12-12 22:26:00,3
ORD_065,2,CUST_086,Mouse,25.20,2025-12-12 22:26:00,1
ORD_066,1,CUST_061,TV,480.87,2025-12-06 12:11:00,2
ORD_066,2,CUST_061,Remote,47.81,2025-12-06 12:11:00,1
ORD_066,3,CUST_061,Mouse,24.18,2025-12-06 12:11:00,3
ORD_067,1,CUST_093,Headphones,96.76,2025-12-31 17:33:00,1
ORD_067,2,CUST_093,Speaker,144.76,2025-12-31 17:33:00,2
ORD_067,3,CUST_093,TV,512.55,2025-12-31 17:33:00,1
ORD_068,1,CUST_048,Tablet,295.03,2025-12-16 03:51:00,2
ORD_069,1,CUST_040,Remote,50.84,2025-12-23 12:17:00,3
ORD_069,2,CUST_040,Monitor,207.11,2025-12-23 12:17:00,3
ORD_070,1,CUST_007,Phone,694.21,2025-12-21 07:27:00,1
ORD_071,1,CUST_075,Keyboard,77.19,2026-01-04 00:18:00,3
ORD_072,1,CUST_029,TV,487.92,2025-12-15 12:19:00,2
ORD_073,1,CUST_072,Remote,49.64,2025-12-02 05:16:00,1
ORD_073,2,CUST_072,TV,484.51,2025-12-02 05:16:00,2
ORD_074,1,CUST_068,Keyboard,83.25,2025-12-24 16:10:00,1
ORD_075,1,CUST_046,Speaker,154.01,2025-12-07 03:23:00,2
ORD_075,2,CUST_046,TV,503.81,2025-12-07 03:23:00,3
ORD_076,1,CUST_046,Monitor,204.13,2025-12-10 02:44:00,2
ORD_076,2,CUST_046,Tablet,288.64,2025-12-10 02:44:00,1
ORD_077,1,CUST_070,Remote,51.27,2025-12-10 15:49:00,1
ORD_077,2,CUST_070,Laptop,864.35,2025-12-10 15:49:00,3
ORD_078,1,CUST_001,Speaker,151.14,2026-01-05 11:40:00,1
ORD_078,2,CUST_001,Charger,20.83,2026-01-05 11:40:00,1
ORD_078,3,CUST_001,Headphones,95.35,2026-01-05 11:40:00,2
ORD_079,1,CUST_095,Headphones,103.21,2025-12-09 08:17:00,1
ORD_079,2,CUST_095,Keyboard,76.12,2025-12-09 08:17:00,1
ORD_079,3,CUST_095,Speaker,153.11,2025-12-09 08:17:00,2
ORD_080,1,CUST_016,TV,487.56,2025-12-13 21:11:00,1
ORD_080,2,CUST_016,Headphones,103.64,2025-12-13 21:11:00,2
ORD_080,3,CUST_016,Tablet,306.50,2025-12-13 21:11:00,2
